Currency,Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-01-02T05:00:00.000Z,13337.62125,13439.4175,13892.2425,12859.8025
BTC,2018-01-03T05:00:00.000Z,14881.545,13337.62125,15216.75625,12955.965
BTC,2018-01-04T05:00:00.000Z,15104.45,14881.545,15394.98625,14588.595
BTC,2018-01-05T05:00:00.000Z,14953.8525,15104.45,15194.40625,14225.16625
BTC,2018-01-06T05:00:00.000Z,16576.69625,14953.8525,17118.35625,14816.50875
BTC,2018-01-07T05:00:00.000Z,16735.10625,16576.69625,17211.92375,16254.94875
BTC,2018-01-08T05:00:00.000Z,15632.41125,16735.10625,16861.20875,15546.415
BTC,2018-01-09T05:00:00.000Z,15242.93625,15632.41125,15944.5225,13957.9125
BTC,2018-01-10T05:00:00.000Z,14122.825,15242.93625,15360.1325,13968.24375
BTC,2018-01-11T05:00:00.000Z,13269.5975,14122.825,14942.61125,13161.5775
BTC,2018-01-12T05:00:00.000Z,13633.36375,13269.5975,14198.5325,12845.7125
BTC,2018-01-13T05:00:00.000Z,14165.90625,13633.36375,14262.0075,13363.81
BTC,2018-01-14T05:00:00.000Z,14217.3625,14165.90625,14536.54,14013.9475
BTC,2018-01-15T05:00:00.000Z,13519.92625,14217.3625,14245.52,13051.59375
BTC,2018-01-16T05:00:00.000Z,12915.11625,13519.92625,14307.53375,12762.9975
BTC,2018-01-17T05:00:00.000Z,10870.16875,12915.11625,13211.24625,10063.1175
BTC,2018-01-18T05:00:00.000Z,11340.65,10870.16875,11764.13625,9199.5925
BTC,2018-01-19T05:00:00.000Z,11137.36875,11340.65,12045.095,10663.945
BTC,2018-01-20T05:00:00.000Z,11742.94125,11137.36875,11955.4425,11022.02875
BTC,2018-01-21T05:00:00.000Z,12486.06625,11742.94125,13007.25125,11596.715
BTC,2018-01-22T05:00:00.000Z,11508.62,12486.06625,12486.06625,11096.0525
BTC,2018-01-23T05:00:00.000Z,10872.9025,11508.62,11868.715,10050.7925
BTC,2018-01-24T05:00:00.000Z,10830.9275,10872.9025,11358.33625,9972.2875
BTC,2018-01-25T05:00:00.000Z,11629.375,10830.9275,11710.9975,10497.15375
BTC,2018-01-26T05:00:00.000Z,11524.345,11629.375,11629.375,10889.045
BTC,2018-01-27T05:00:00.000Z,11005.615,11524.345,11540.4075,10321.04125
BTC,2018-01-28T05:00:00.000Z,11452.23,11005.615,11574.36125,10855.46
BTC,2018-01-29T05:00:00.000Z,11412.79375,11452.23,11942.255,11303.365
BTC,2018-01-30T05:00:00.000Z,10917.15125,11412.79375,11480.56375,10805.81625
BTC,2018-01-31T05:00:00.000Z,9914.4725,10917.15125,11063.8,9627.88875
BTC,2018-02-01T05:00:00.000Z,9970.30875,9914.4725,10334.41875,9688.28
BTC,2018-02-02T05:00:00.000Z,8715.59499,9970.30875,10169.8225,8563.9275
BTC,2018-02-03T05:00:00.000Z,8285.50124,8715.59499,9095.79999,7695.10375
BTC,2018-02-04T05:00:00.000Z,9192.045,8285.50124,9471.45624,8192.62999
BTC,2018-02-05T05:00:00.000Z,8136.39,9192.045,9363.41124,7859.5125
BTC,2018-02-06T05:00:00.000Z,6332.37,8136.39,8346.90625,6197.98
BTC,2018-02-07T05:00:00.000Z,7270.5075,6332.37,7957.3425,5947.39625
BTC,2018-02-08T05:00:00.000Z,7987.28125,7270.5075,8582.92625,7207.97125
BTC,2018-02-09T05:00:00.000Z,8086.7725,7987.28125,8621.275,7808.22
BTC,2018-02-10T05:00:00.000Z,8930.13875,8086.7725,9005.03375,7754.67
BTC,2018-02-11T05:00:00.000Z,8045.44,8930.13875,9070.63875,8030.6725
BTC,2018-02-12T05:00:00.000Z,8478.92499,8045.44,8566.15875,7845.12625
BTC,2018-02-13T05:00:00.000Z,8766.8525,8478.92499,8977.0775,8362.84125
BTC,2018-02-14T05:00:00.000Z,8693.2525,8766.8525,8772.87999,8370.48375
BTC,2018-02-15T05:00:00.000Z,9659.2875,8693.2525,9722.5475,8693.2525
BTC,2018-02-16T05:00:00.000Z,10110.83875,9659.2875,10293.44,9496.01874
BTC,2018-02-17T05:00:00.000Z,10474.77125,10110.83875,10496.205,9718.59375
BTC,2018-02-18T05:00:00.000Z,10855.9375,10474.77125,11279.17875,10472.71625
BTC,2018-02-19T05:00:00.000Z,10537.00625,10855.9375,10963.68625,10156.38125
BTC,2018-02-20T05:00:00.000Z,11416.03875,10537.00625,11497.405,10405.97625
